departement store	grand magasin
retail	vente au détail
game	partie
Product Customization Range	Gamme de personnalisation du produit
Subsidiary DLC	DLC Subsidiaire
Technology Disruption	perturbation technologique
supermarkets	supermarchés
furniture stores	magasins de meubles
specialist stores	magasins spécialisés
seaports	ports maritimes
save game	sauvegarde
error	Erreur
header	en-tête
lobby	lobby
connection	connexion
retire	se retirer
restart	redémarrer
successfully	avec succès
join	rejoindre
proceed	poursuivre
brand	marque
supplier	fournisseur
cancel	annuler
City Economic Simulation DLC	DLC Simulation économique de la ville	City Economic Simulation DLC
client	client
media	média
small	petit
medium	moyen
large	grand
apartment	appartement
owner	propriétaire
environment	environnement
retail stores	magasin de détail
months	mois
year	an
years	ans
day	jour
days	jours
mansion	manoir
Banking and Finance DLC	DLC Banques et Finances
competitor	competiteur
competitors	competiteurs
products	produits
product	produit
confirm	confirmer
retail business	commerce de détail
stores	magasins
